form,concept,iconic,item,meaning,foils,goodone,done,notes
zuuzuusyii,RUDE,y,trial,RUDE|ARROGANT|BRAZEN,pyapyiwu|wayipyu|yiwaya,TRUE,NA,NA
samisyii,SAD,y,trial,SAD|GLUM,yuruyu|pyuwupyu|wiyawa,TRUE,NA,NA
kowa,SCARY,y,trial,SCARY|FRIGHTENING,weQtu|retyu|netsi,TRUE,NA,NA
zyizyimusai,SHABBY,y,trial,SCRUFFY|TATTY|RAGGEDY,wurahayua|ruwayawua|yayuwipyiu,TRUE,NA,NA
buruburu,SHAKING,y,trial,SHAKING|TREMBLING,wikyi|ripyi|yaka,TRUE,NA,NA
gatagata,SHAKING,y,trial,SHAKING|TREMBLING,huyi|ruwi|wimu,TRUE,NA,NA
nebutai,SLEEPY,y,trial,SLEEPY|DROWSY,pyoyawua|yowayua|worimiu,TRUE,NA,NA
tsurutsuru,SLICK,y,trial,SLIPPERY|SMOOTH,wipyi|pyiQgi|yaQpa,TRUE,NA,NA
taputapu,SLOSHING,y,trial,SLOSHING|SPLASHING,wuya|mura|yiwi,TRUE,NA,NA
noroi,SLOW,y,trial,SLOW,pyepyea|weQpea|yekyeu,TRUE,NA,NA
toroi,SLOW,y,trial,SLOW,mekeu|wepyeu|yekyea,TRUE,NA,NA
dayai,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,yuQduu|wuQtuu|hitia,TRUE,NA,NA
naNgii,SLUGGISH,y,trial,SLUGGISH|LETHARGIC,wuQru|pyuQwu|yiQha,TRUE,NA,NA
komai,SMALL,y,trial,SMALL|LITTLE|TINY,neyuu|wewuu|rehia,TRUE,NA,NA
nikoniko,SMILING,y,trial,GRINNING|SMILING,yare|pyawe|wune,TRUE,NA,NA
